,all_data,formattedLocation,country
1123,"Pittsburgh, PA, US, United States","Pittsburgh, PA, US",United States of America
1124,"SÅ«rat, IN, India","SÅ«rat, IN",India
1125,"Scott AFB, IL, US, United States","Scott AFB, IL, US",United States of America
1126,"Palm Harbor, FL, US, United States","Palm Harbor, FL, US",United States of America
1127,"Pilot Mountain, NC, US, United States","Pilot Mountain, NC, US",United States of America
1128,"Jacksonville, FL, US, United States","Jacksonville, FL, US",United States of America
1129,"Sacramento, CA, US, United States","Sacramento, CA, US",United States of America
1130,"Woodstock, GA, US, United States","Woodstock, GA, US",United States of America
1131,"El Salto, MX, Mexico","El Salto, MX",Mexico
1132,"Chantilly, VA, US, United States","Chantilly, VA, US",United States of America
1133,"Garland, TX, US, United States","Garland, TX, US",United States of America
1134,"BogotÃ¡, CO, Colombia","BogotÃ¡, CO",Colombia
1135,"GenÃ¨ve, CH, Switzerland","GenÃ¨ve, CH",Switzerland
1136,"AvilÃ©s, ES, Spain","AvilÃ©s, ES",Spain
1137,"Albuquerque, NM, US, United States","Albuquerque, NM, US",United States of America
1138,"MontrÃ©al, CA, Canada","MontrÃ©al, CA",Canada
1139,"Brighton, MA, US, United States","Brighton, MA, US",United States of America
1140,"Kennett Square, PA, US, United States","Kennett Square, PA, US",United States of America
1141,"Mountain, CO, United States","Mountain, CO",United States of America
1142,"Hong Kong, 00, HK, Hong Kong","Hong Kong, 00, HK",Hong Kong
1143,"Belfast, N Ireland, GB, United Kingdom","Belfast, N Ireland, GB",United Kingdom
1144,"Santa Ana, CR, Costa Rica","Santa Ana, CR",Costa Rica
1145,"Mississauga, 08, CA, Canada","Mississauga, 08, CA",Canada
1146,"Cambridge, MA, US, United States","Cambridge, MA, US",United States of America
1147,"Jericho, NY, US, United States","Jericho, NY, US",United States of America
1148,"Cross Hill, SC, US, United States","Cross Hill, SC, US",United States of America
1149,"Boca Raton, FL, US, United States","Boca Raton, FL, US",United States of America
1150,"Dunn Loring, VA, US, United States","Dunn Loring, VA, US",United States of America
1151,"Arlington, VA, US, United States","Arlington, VA, US",United States of America
1152,"Eugene, OR, US, United States","Eugene, OR, US",United States of America
1153,"Artesia, NM, US, United States","Artesia, NM, US",United States of America
1154,"Lowville, NY, US, United States","Lowville, NY, US",United States of America
1155,"Lynden, WA, US, United States","Lynden, WA, US",United States of America
1156,"Blue Ash, OH, US, United States","Blue Ash, OH, US",United States of America
1157,"Hopkinsville, KY, US, United States","Hopkinsville, KY, US",United States of America
1158,"Arlington, WA, US, United States","Arlington, WA, US",United States of America
1159,"Eden Prairie, MN, US, United States","Eden Prairie, MN, US",United States of America
1160,"Pataskala, OH, US, United States","Pataskala, OH, US",United States of America
1161,"Stedman, NC, US, United States","Stedman, NC, US",United States of America
1162,"UK - SIT0130 BASINGSTOKE - DLD - TME, Basingstoke, South East, United Kingdom","UK - SIT0130 BASINGSTOKE - DLD - TME, Basingstoke, South East",United Kingdom
1163,"UK - SIT0130 BASINGSTOKE - DSC, Basingstoke, South East, United Kingdom","UK - SIT0130 BASINGSTOKE - DSC, Basingstoke, South East",United Kingdom
1164,"Herndon, VA, US, United States","Herndon, VA, US",United States of America
1165,"Dutch Fork, SC, US, United States","Dutch Fork, SC, US",United States of America
1166,"Redding, CA, US, United States","Redding, CA, US",United States of America
1167,"Irvine, CA, US, United States","Irvine, CA, US",United States of America
1168,"Cincinnati, OH, US, United States","Cincinnati, OH, US",United States of America
1169,"Bibiani, GH, Ghana","Bibiani, GH",Ghana
1170,"Matteson, IL, US, United States","Matteson, IL, US",United States of America
1171,"Somerville, NJ, US, United States","Somerville, NJ, US",United States of America
1172,"Plantation, FL, US, United States","Plantation, FL, US",United States of America
1173,"Montgomery, KS, US, United States","Montgomery, KS, US",United States of America
1174,"St. Louis, MO, US, United States","St. Louis, MO, US",United States of America
1175,"Armonk, NY, US, United States","Armonk, NY, US",United States of America
1176,"Huntsville, AL, US, United States","Huntsville, AL, US",United States of America
1177,"Hermitage, PA, US, United States","Hermitage, PA, US",United States of America
1178,"New Orleans, LA, US, United States","New Orleans, LA, US",United States of America
1179,"QuÃ©bec, QC, Canada","QuÃ©bec, QC",Canada
1180,"Kilkenny, County Kilkenny, Ireland, Ireland","Kilkenny, County Kilkenny, Ireland",Ireland
1181,"Ruther Glen, VA, United States","Ruther Glen, VA",United States of America
1182,"Kappelrodeck, Baden-WÃ¼rttemberg, Germany, Germany","Kappelrodeck, Baden-WÃ¼rttemberg, Germany",Germany
1183,"Grandview, WA, US, United States","Grandview, WA, US",United States of America
1184,"Huntington Beach, CA, US, United States","Huntington Beach, CA, US",United States of America
1185,"Memphis, TN, US, United States","Memphis, TN, US",United States of America
1186,"West Warwick, RI, US, United States","West Warwick, RI, US",United States of America
1187,"Weston, MA, US, United States","Weston, MA, US",United States of America
1188,"Troy, AL, US, United States","Troy, AL, US",United States of America
1189,"HaryÄna, IN, India","HaryÄna, IN",India
1190,"Colorado Springs, CO, US, United States","Colorado Springs, CO, US",United States of America
1191,"Williams, UT, US, United States","Williams, UT, US",United States of America
1192,"Provincie Zeeland, NL, Netherlands","Provincie Zeeland, NL",Netherlands
1193,"Fort Knox, KY, US, United States","Fort Knox, KY, US",United States of America
1194,"Piscataway, NJ, US, United States","Piscataway, NJ, US",United States of America
1195,"Cranbury, NJ, US, United States","Cranbury, NJ, US",United States of America
1196,"BiaÅa, PL, Poland","BiaÅa, PL",Poland
1197,"Collingwood, AU, Australia","Collingwood, AU",Australia
1198,"Coon Rapids, MN, US, United States","Coon Rapids, MN, US",United States of America
1199,"Elm Grove, WI, US, United States","Elm Grove, WI, US",United States of America
1200,"Liverpool, NY, US, United States","Liverpool, NY, US",United States of America
1201,"Lindsay, ON, Canada","Lindsay, ON",Canada
1202,"Middle Creek, AU, Australia","Middle Creek, AU",Australia
1203,"Turnersville, NJ, US, United States","Turnersville, NJ, US",United States of America
1204,"Fort Belvoir, VA, US, United States","Fort Belvoir, VA, US",United States of America
1205,"Toulon, FR, France","Toulon, FR",France
1206,"Lyon, 69061 CEDEX 06, FR, France","Lyon, 69061 CEDEX 06, FR",France
1207,"Santa Fe, NM, US, United States","Santa Fe, NM, US",United States of America
1208,"Newbury, NH, US, United States","Newbury, NH, US",United States of America
1209,"York, CA, Canada","York, CA",Canada
1210,"Mendrisio, Ticino, Switzerland, Switzerland","Mendrisio, Ticino, Switzerland",Switzerland
1211,"Millville, NJ, US, United States","Millville, NJ, US",United States of America
1212,"Kenosha, WI, US, United States","Kenosha, WI, US",United States of America
1213,"Lake Stevens, WA, US, United States","Lake Stevens, WA, US",United States of America
1214,"Annapolis Junction, MD, US, United States","Annapolis Junction, MD, US",United States of America
1215,"Crystal Spring, VA, US, United States","Crystal Spring, VA, US",United States of America
1216,"Scottsville, VA, US, United States","Scottsville, VA, US",United States of America
1217,"Goose Creek, SC, US, United States","Goose Creek, SC, US",United States of America
1218,"Southern Shores, NC, US, United States","Southern Shores, NC, US",United States of America
1219,"Waynesboro, PA, US, United States","Waynesboro, PA, US",United States of America
1220,"Omaha, NE, US, United States","Omaha, NE, US",United States of America
1221,"Rutherford, NJ, US, United States","Rutherford, NJ, US",United States of America
1222,"North District, Taichung City, Taiwan, Taiwan","North District, Taichung City, Taiwan",Taiwan
1223,"Arrington, England, United Kingdom, United Kingdom","Arrington, England, United Kingdom",United Kingdom
1224,"Long Wittenham, England, United Kingdom, United Kingdom","Long Wittenham, England, United Kingdom",United Kingdom
1225,"Lincoln County, OR, US, United States","Lincoln County, OR, US",United States of America
1226,"Pasadena, CA, US, United States","Pasadena, CA, US",United States of America
1227,"Greenwood, IN, US, United States","Greenwood, IN, US",United States of America
1228,"Clear Lake, IA, US, United States","Clear Lake, IA, US",United States of America
1229,"Baulkham Hills, AU, Australia","Baulkham Hills, AU",Australia
1230,"Geelong West, AU, Australia","Geelong West, AU",Australia
1231,"Goldsboro, NC, US, United States","Goldsboro, NC, US",United States of America
1232,"Vinings, GA, US, United States","Vinings, GA, US",United States of America
1233,"New Castle, DE, US, United States","New Castle, DE, US",United States of America
1234,"Dawson Creek, CA, Canada","Dawson Creek, CA",Canada
1235,"Dunn, NC, US, United States","Dunn, NC, US",United States of America
1236,"Media, PA, US, United States","Media, PA, US",United States of America
1237,"Cannanore, IN, India","Cannanore, IN",India
1238,"Kollam, IN, India","Kollam, IN",India
1239,"Jeddah, SA, Saudi Arabia","Jeddah, SA",Saudi Arabia
1240,"Wesley Chapel, FL, US, United States","Wesley Chapel, FL, US",United States of America
1241,"Adliswil, CH, Switzerland","Adliswil, CH",Switzerland
1242,"ZÃ¼rich, CH, Switzerland","ZÃ¼rich, CH",Switzerland
1243,"Angeles City, PH, Philippines","Angeles City, PH",Philippines
1244,"Granada, ES, Spain","Granada, ES",Spain
1245,"GÃ¶teborg, SE, Sweden","GÃ¶teborg, SE",Sweden
1246,"Ä°stanbul, TR, Turkey","Ä°stanbul, TR",Turkey
1247,"Chesham, GB, United Kingdom","Chesham, GB",United Kingdom
1248,"Godalming, GB, United Kingdom","Godalming, GB",United Kingdom
1249,"Bromsgrove, GB, United Kingdom","Bromsgrove, GB",United Kingdom
1250,"Budapest, Budapest, HU, Hungary","Budapest, Budapest, HU",Hungary
1251,"Carteret, NJ, US, United States","Carteret, NJ, US",United States of America
1252,"Burleson, TX, US, United States","Burleson, TX, US",United States of America
1253,"Purchase, NY, US, United States","Purchase, NY, US",United States of America
1254,"Bayan Lepas, MY, Malaysia","Bayan Lepas, MY",Malaysia
1255,"Edinburgh, SCT, GB, United Kingdom","Edinburgh, SCT, GB",United Kingdom
1256,"Marina Village, CA, US, United States","Marina Village, CA, US",United States of America
1257,"Midlothian, VA, US, United States","Midlothian, VA, US",United States of America
1258,"Lecanto, FL, US, United States","Lecanto, FL, US",United States of America
1259,"Virginia, MN, US, United States","Virginia, MN, US",United States of America
1260,"Niceville, FL, US, United States","Niceville, FL, US",United States of America
1261,"Clarion, PA, US, United States","Clarion, PA, US",United States of America
1262,"Evansville, IN, US, United States","Evansville, IN, US",United States of America
1263,"High Point, NC, US, United States","High Point, NC, US",United States of America
1264,"Sevilla, ES, Spain","Sevilla, ES",Spain
1265,"Lacey, NJ, US, United States","Lacey, NJ, US",United States of America
1266,"El Centro, CA, US, United States","El Centro, CA, US",United States of America
1267,"Morgan County, AL, US, United States","Morgan County, AL, US",United States of America
1268,"Woodhaven, MI, US, United States","Woodhaven, MI, US",United States of America
1269,"Yonezawa, Yamagata, Japan, Japan","Yonezawa, Yamagata, Japan",Japan
1270,"Nashville, TN, US, United States","Nashville, TN, US",United States of America
1271,"Ostend, BE, Belgium","Ostend, BE",Belgium
1272,"Remote Lake, MN, US, United States","Remote Lake, MN, US",United States of America
1273,"Birken, Rhineland-Palatinate, Germany, Germany","Birken, Rhineland-Palatinate, Germany",Germany
1274,"Siuntio, Uusimaa, Finland, Finland","Siuntio, Uusimaa, Finland",Finland
1275,"Linford, England, United Kingdom, United Kingdom","Linford, England, United Kingdom",United Kingdom
1276,"CrÃ©teil, Ãle-de-France, France, France","CrÃ©teil, Ãle-de-France, France",France
1277,"Wetheral, England, United Kingdom, United Kingdom","Wetheral, England, United Kingdom",United Kingdom
1278,"Scottsbluff, NE, United States","Scottsbluff, NE",United States of America
1279,"Sleaford, England, United Kingdom, United Kingdom","Sleaford, England, United Kingdom",United Kingdom
1280,"Rosebud, AU, Australia","Rosebud, AU",Australia
1281,"SÃ¸borg Slot, DK, Denmark","SÃ¸borg Slot, DK",Denmark
1282,"Hanover, MA, US, United States","Hanover, MA, US",United States of America
1283,"Villard, MN, US, United States","Villard, MN, US",United States of America
1284,"Century City, CA, US, United States","Century City, CA, US",United States of America
1285,"Halfway House, ZA, South Africa","Halfway House, ZA",South Africa
1286,"Wellsville, NY, US, United States","Wellsville, NY, US",United States of America
1287,"Fontana, CA, US, United States","Fontana, CA, US",United States of America
1288,"Webster, NY, US, United States","Webster, NY, US",United States of America
1289,"WarzÄchewka Polska, PL, Poland","WarzÄchewka Polska, PL",Poland
1290,"Aiken, SC, US, United States","Aiken, SC, US",United States of America
1291,"Saint Croix, IN, United States","Saint Croix, IN",United States of America
1292,"Livingston, NJ, US, United States","Livingston, NJ, US",United States of America
1293,"Geelong, AU, Australia","Geelong, AU",Australia
1294,"Harrogate, BC, Canada","Harrogate, BC",Canada
1295,"Monroe, NY, US, United States","Monroe, NY, US",United States of America
1296,"The Woodlands, TX, US, United States","The Woodlands, TX, US",United States of America
1297,"Tualatin, OR, US, United States","Tualatin, OR, US",United States of America
1298,"Chagrin Falls, OH, US, United States","Chagrin Falls, OH, US",United States of America
1299,"Peterborough, NH, US, United States","Peterborough, NH, US",United States of America
1300,"Erlangen, 91052, DE, Germany","Erlangen, 91052, DE",Germany
1301,"Elk River, MN, US, United States","Elk River, MN, US",United States of America
1302,"Visakhapatnam, IN, India","Visakhapatnam, IN",India
1303,"Andover, MA, US, United States","Andover, MA, US",United States of America
1304,"KrakÃ³w, PL, Poland","KrakÃ³w, PL",Poland
1305,"Mount Clemens, MI, US, United States","Mount Clemens, MI, US",United States of America
1306,"Raleigh, NC, US, United States","Raleigh, NC, US",United States of America
1307,"Bonn, DE, Germany","Bonn, DE",Germany
1308,"Township of Moon, PA, US, United States","Township of Moon, PA, US",United States of America
1309,"Wehr, DE, Germany","Wehr, DE",Germany
1310,"Warminster, PA, US, United States","Warminster, PA, US",United States of America
1311,"Coon Rapids, IA, US, United States","Coon Rapids, IA, US",United States of America
1312,"Hightstown, NJ, US, United States","Hightstown, NJ, US",United States of America
1313,"Breckenridge, CO, US, United States","Breckenridge, CO, US",United States of America
1314,"Castle Rock, CO, US, United States","Castle Rock, CO, US",United States of America
1315,"Mount Pleasant, PA, US, United States","Mount Pleasant, PA, US",United States of America
1316,"Lander, WY, US, United States","Lander, WY, US",United States of America
1317,"Boudry, CH, Switzerland","Boudry, CH",Switzerland
1318,"Royal Oak, MI, US, United States","Royal Oak, MI, US",United States of America
1319,"Cliffside Park, NJ, United States","Cliffside Park, NJ",United States of America
1320,"Lleida, Catalonia, Spain, Spain","Lleida, Catalonia, Spain",Spain
1321,"Vilanova i la GeltrÃº, Catalonia, Spain, Spain","Vilanova i la GeltrÃº, Catalonia, Spain",Spain
1322,"Atlanta, IN, United States","Atlanta, IN",United States of America
1323,"Whitnash, England, United Kingdom, United Kingdom","Whitnash, England, United Kingdom",United Kingdom
1324,"St. Ingbert, Saarland, Germany, Germany","St. Ingbert, Saarland, Germany",Germany
1325,"Chardon, OH, United States","Chardon, OH",United States of America
1326,"Palm Beach, FL, United States","Palm Beach, FL",United States of America
1327,"Random Lake, WI, United States","Random Lake, WI",United States of America
1328,"Middlebury, IN, United States","Middlebury, IN",United States of America
1329,"Sankt Leon-Rot, Baden-WÃ¼rttemberg, Germany, Germany","Sankt Leon-Rot, Baden-WÃ¼rttemberg, Germany",Germany
1330,"Litchfield, MN, United States","Litchfield, MN",United States of America
1331,"Rathmell, England, United Kingdom, United Kingdom","Rathmell, England, United Kingdom",United Kingdom
1332,"Pak Kret, Nonthaburi, Thailand, Thailand","Pak Kret, Nonthaburi, Thailand",Thailand
1333,"Grand Forks, ND, US, United States","Grand Forks, ND, US",United States of America
1334,"Arlington Heights, IL, US, United States","Arlington Heights, IL, US",United States of America
1335,"Farmington, CT, US, United States","Farmington, CT, US",United States of America
1336,"DurgÄpur, IN, India","DurgÄpur, IN",India
1337,"Bethel, AK, US, United States","Bethel, AK, US",United States of America
1338,"Saint Leonards, AU, Australia","Saint Leonards, AU",Australia
1339,"Tahlequah, OK, US, United States","Tahlequah, OK, US",United States of America
1340,"Harrison County, IN, US, United States","Harrison County, IN, US",United States of America
1341,"Jackson, WY, US, United States","Jackson, WY, US",United States of America
1342,"Center City, MN, US, United States","Center City, MN, US",United States of America
1343,"Havre, MT, US, United States","Havre, MT, US",United States of America
1344,"Tecate, CA, US, United States","Tecate, CA, US",United States of America
1345,"Åsaka-shi, JP, Japan","Åsaka-shi, JP",Japan
1346,"Boisar, IN, India","Boisar, IN",India
1347,"Drammen, NO, Norway","Drammen, NO",Norway
1348,"Sankt Johann im Pongau, Salzburg, Austria, Austria","Sankt Johann im Pongau, Salzburg, Austria",Austria
1349,"Uddel, Provincie Gelderland, Netherlands, Netherlands","Uddel, Provincie Gelderland, Netherlands",Netherlands
1350,"Mecklenburg, DE, Germany","Mecklenburg, DE",Germany
1351,"Fresno, CA, US, United States","Fresno, CA, US",United States of America
1352,"Chapel Hill, NC, US, United States","Chapel Hill, NC, US",United States of America
1353,"Oslo, NO, Norway","Oslo, NO",Norway
1354,"Sundsvall, SE, Sweden","Sundsvall, SE",Sweden
1355,"Delafield, WI, US, United States","Delafield, WI, US",United States of America
1356,"WrocÅaw, PL, Poland","WrocÅaw, PL",Poland
1357,"Clarksburg, WV, US, United States","Clarksburg, WV, US",United States of America
1358,"Pottstown, PA, US, United States","Pottstown, PA, US",United States of America
1359,"Milford Mill, MD, US, United States","Milford Mill, MD, US",United States of America
1360,"Tallmadge, OH, US, United States","Tallmadge, OH, US",United States of America
1361,"Middletown, PA, US, United States","Middletown, PA, US",United States of America
1362,"Vista, CA, US, United States","Vista, CA, US",United States of America
1363,"Belgrade, MT, US, United States","Belgrade, MT, US",United States of America
1364,"Pontiac, MI, US, United States","Pontiac, MI, US",United States of America
1365,"Pine Brook, NJ, US, United States","Pine Brook, NJ, US",United States of America
1366,"Prescott, AZ, US, United States","Prescott, AZ, US",United States of America
1367,"Wilmington, MA, US, United States","Wilmington, MA, US",United States of America
1368,"Aurora, OH, US, United States","Aurora, OH, US",United States of America
1369,"Poway, CA, US, United States","Poway, CA, US",United States of America
1370,"Truckee, CA, US, United States","Truckee, CA, US",United States of America
1371,"South Burlington, VT, US, United States","South Burlington, VT, US",United States of America
1372,"Welcome, MN, US, United States","Welcome, MN, US",United States of America
1373,"Sparta, WI, US, United States","Sparta, WI, US",United States of America
1374,"Gander, CA, Canada","Gander, CA",Canada
1375,"MedellÃ­n, CO, Colombia","MedellÃ­n, CO",Colombia
1376,"Pasco, WA, US, United States","Pasco, WA, US",United States of America
1377,"Ä°n, TR, Turkey","Ä°n, TR",Turkey
1378,"Lacey, WA, US, United States","Lacey, WA, US",United States of America
1379,"Townsville, AU, Australia","Townsville, AU",Australia
1380,"Elyria, OH, US, United States","Elyria, OH, US",United States of America
1381,"Passaic, NJ, US, United States","Passaic, NJ, US",United States of America
1382,"Truro, CA, Canada","Truro, CA",Canada
1383,"Westwood, NJ, US, United States","Westwood, NJ, US",United States of America
1384,"Millburn, NJ, US, United States","Millburn, NJ, US",United States of America
1385,"Princeton, MN, US, United States","Princeton, MN, US",United States of America
1386,"IaÈi, RO, Romania","IaÈi, RO",Romania
1387,"Highland Park, IL, US, United States","Highland Park, IL, US",United States of America
1388,"Westchester, IL, US, United States","Westchester, IL, US",United States of America
1389,"Hampton, NJ, US, United States","Hampton, NJ, US",United States of America
1390,"Fleet, GB, United Kingdom","Fleet, GB",United Kingdom
1391,"Norcross, GA, US, United States","Norcross, GA, US",United States of America
1392,"Santiago de QuerÃ©taro, MX, Mexico","Santiago de QuerÃ©taro, MX",Mexico
1393,"Lexington, KY, US, United States","Lexington, KY, US",United States of America
1394,"Lawrence, MA, US, United States","Lawrence, MA, US",United States of America
1395,"Linwood, NJ, US, United States","Linwood, NJ, US",United States of America
1396,"Pleasant Prairie, WI, US, United States","Pleasant Prairie, WI, US",United States of America
1397,"Swiftwater, PA, US, United States","Swiftwater, PA, US",United States of America
1398,"Owensboro, KY, US, United States","Owensboro, KY, US",United States of America
1399,"Glen Mills, PA, US, United States","Glen Mills, PA, US",United States of America
1400,"Franklin Park, IL, US, United States","Franklin Park, IL, US",United States of America
1401,"Knoxville, TN, US, United States","Knoxville, TN, US",United States of America
1402,"Darien, CT, US, United States","Darien, CT, US",United States of America
1403,"Hanover, MD, US, United States","Hanover, MD, US",United States of America
1404,"Highland Heights, OH, US, United States","Highland Heights, OH, US",United States of America
1405,"ÅwiÄtokrzyskie, PL, Poland","ÅwiÄtokrzyskie, PL",Poland
1406,"Nivelles, BE, Belgium","Nivelles, BE",Belgium
1407,"Johannesburg South, ZA, South Africa","Johannesburg South, ZA",South Africa
1408,"Madison, NC, US, United States","Madison, NC, US",United States of America
1409,"Frankfurt, DE, Germany","Frankfurt, DE",Germany
1410,"West Point, MS, US, United States","West Point, MS, US",United States of America
1411,"San JosÃ©, CR, Costa Rica","San JosÃ©, CR",Costa Rica
1412,"Carnegie, PA, US, United States","Carnegie, PA, US",United States of America
1413,"Ultimo, AU, Australia","Ultimo, AU",Australia
1414,"DÃ¼sseldorf, DE, Germany","DÃ¼sseldorf, DE",Germany
1415,"Tupelo, MS, US, United States","Tupelo, MS, US",United States of America
1416,"Northern District, VA, US, United States","Northern District, VA, US",United States of America
1417,"Santa Clara,CA,US, United States","Santa Clara,CA,US",United States of America
1418,"Ruther Glen, VA, US, United States","Ruther Glen, VA, US",United States of America
1419,"Ridgmont, GB, United Kingdom","Ridgmont, GB",United Kingdom
1420,"PoznaÅ, PL, Poland","PoznaÅ, PL",Poland
1421,"Azur, FR, France","Azur, FR",France
1422,"Metairie, LA, US, United States","Metairie, LA, US",United States of America
1423,"Wallingford, CT, US, United States","Wallingford, CT, US",United States of America
1424,"Mason, OH, US, United States","Mason, OH, US",United States of America
1425,"East Troy, WI, US, United States","East Troy, WI, US",United States of America
1426,"Luanda, AO, Angola","Luanda, AO",Angola
1427,"Daman, IN, India","Daman, IN",India
1428,"BÄ«kÄner, IN, India","BÄ«kÄner, IN",India
1429,"BhÄ«lwÄra, IN, India","BhÄ«lwÄra, IN",India
1430,"KÄnpur, IN, India","KÄnpur, IN",India
1431,"GhÄziÄbÄd, IN, India","GhÄziÄbÄd, IN",India
1432,"KolÄr, IN, India","KolÄr, IN",India
1433,"Kentfield, CA, US, United States","Kentfield, CA, US",United States of America
1434,"FarÄ«dÄbÄd, IN, India","FarÄ«dÄbÄd, IN",India
1435,"JÅ«nÄgadh, IN, India","JÅ«nÄgadh, IN",India
1436,"Los Altos Hills, CA, US, United States","Los Altos Hills, CA, US",United States of America
1437,"Voronezh, RU, Russia","Voronezh, RU",Russia
1438,"Tobyhanna, PA, US, United States","Tobyhanna, PA, US",United States of America
1439,"Al Jubayl, SA, Saudi Arabia","Al Jubayl, SA",Saudi Arabia
1440,"East Peoria, IL, US, United States","East Peoria, IL, US",United States of America
1441,"GdaÅsk, PL, Poland","GdaÅsk, PL",Poland
1442,"Falmouth, ME, US, United States","Falmouth, ME, US",United States of America
1443,"Omsk, RU, Russia","Omsk, RU",Russia
1444,"Fort Lee, VA, US, United States","Fort Lee, VA, US",United States of America
1445,"York, SC, US, United States","York, SC, US",United States of America
1446,"State of HaryÄna, IN, India","State of HaryÄna, IN",India
1447,"Rohnert Park, CA, US, United States","Rohnert Park, CA, US",United States of America
1448,"Kyle, TX, US, United States","Kyle, TX, US",United States of America
1449,"Rumes, BE, Belgium","Rumes, BE",Belgium
1450,"Glattbrugg, CH, Switzerland","Glattbrugg, CH",Switzerland
1451,"ÅÃ³dÅº, PL, Poland","ÅÃ³dÅº, PL",Poland
1452,"Kabul, AF, Afghanistan","Kabul, AF",Afghanistan
1453,"Belleville, MI, US, United States","Belleville, MI, US",United States of America
1454,"Kampala, UG, Uganda","Kampala, UG",Uganda
1455,"Norwich, CT, US, United States","Norwich, CT, US",United States of America
1456,"Burnham-on-Sea, GB, United Kingdom","Burnham-on-Sea, GB",United Kingdom
1457,"Egham, GB, United Kingdom","Egham, GB",United Kingdom
1458,"Hatton, GB, United Kingdom","Hatton, GB",United Kingdom
1459,"Kings Langley, GB, United Kingdom","Kings Langley, GB",United Kingdom
1460,"Cleckheaton, GB, United Kingdom","Cleckheaton, GB",United Kingdom
1461,"Alcobendas, ES, Spain","Alcobendas, ES",Spain
1462,"East Syracuse, NY, US, United States","East Syracuse, NY, US",United States of America
1463,"Brecksville, OH, US, United States","Brecksville, OH, US",United States of America
1464,"Terrace, CA, Canada","Terrace, CA",Canada
1465,"County Down, GB, United Kingdom","County Down, GB",United Kingdom
1466,"East Bergholt, GB, United Kingdom","East Bergholt, GB",United Kingdom
1467,"Haarlem, NL, Netherlands","Haarlem, NL",Netherlands
1468,"Wageningen, NL, Netherlands","Wageningen, NL",Netherlands
1469,"Roztoky, CZ, Czechia","Roztoky, CZ",Czechia
1470,"GyÅr, HU, Hungary","GyÅr, HU",Hungary
1471,"Tewkesbury, GB, United Kingdom","Tewkesbury, GB",United Kingdom
1472,"San Marcos, CA, US, United States","San Marcos, CA, US",United States of America
1473,"Haslet, TX, US, United States","Haslet, TX, US",United States of America
1474,"Mascot, AU, Australia","Mascot, AU",Australia
1475,"Strathfield, AU, Australia","Strathfield, AU",Australia
1476,"Rockhampton, AU, Australia","Rockhampton, AU",Australia
1477,"Narre Warren, AU, Australia","Narre Warren, AU",Australia
1478,"Anderson, SC, US, United States","Anderson, SC, US",United States of America
1479,"Prague, Praha, CZ, Czechia","Prague, Praha, CZ",Czechia
1480,"Guangzhou, 30, CN, China","Guangzhou, 30, CN",China
1481,"Pune, 16, IN, India","Pune, 16, IN",India
1482,"Shenzhen, 30, CN, China","Shenzhen, 30, CN",China
1483,"Georgia, GA, US, United States","Georgia, GA, US",United States of America
1484,"Sunderland, England, GB, United Kingdom","Sunderland, England, GB",United Kingdom
1485,"Frankfurt am Main, 05, DE, Germany","Frankfurt am Main, 05, DE",Germany
1486,"Dorset, GB, United Kingdom","Dorset, GB",United Kingdom
1487,"Austin, TX, us, United States","Austin, TX, us",United States of America
1488,"Luzhu District, Kaohsiung City, Taiwan, Taiwan","Luzhu District, Kaohsiung City, Taiwan",Taiwan
1489,"Zhudong, TW, Taiwan","Zhudong, TW",Taiwan
1490,"Racine, WI, US, United States","Racine, WI, US",United States of America
1491,"Queanbeyan, New South Wales, Australia, Australia","Queanbeyan, New South Wales, Australia",Australia
1492,"Pembrokeshire Coast National Park, Wales, GB, United Kingdom","Pembrokeshire Coast National Park, Wales, GB",United Kingdom
1493,"PartizÃ¡nske, SK, Slovakia","PartizÃ¡nske, SK",Slovakia
1494,"Bangalore, Karnataka, IN, India","Bangalore, Karnataka, IN",India
1495,"Badia del VallÃ¨s, Catalonia, Spain, Spain","Badia del VallÃ¨s, Catalonia, Spain",Spain
1496,"Treviso, IT, Italy","Treviso, IT",Italy
1497,"Buffalo, NY, US, United States","Buffalo, NY, US",United States of America
1498,"MalmÃ¶, SE, Sweden","MalmÃ¶, SE",Sweden
1499,"Indiana County, PA, US, United States","Indiana County, PA, US",United States of America
1500,"Middletown, DE, US, United States","Middletown, DE, US",United States of America
1501,"Bielany, PL, Poland","Bielany, PL",Poland
1502,"Blagnac, FR, France","Blagnac, FR",France
1503,"Clemmons, NC, US, United States","Clemmons, NC, US",United States of America
1504,"Borno, NG, Nigeria","Borno, NG",Nigeria
1505,"LudhiÄna, IN, India","LudhiÄna, IN",India
1506,"Prince William County, VA, US, United States","Prince William County, VA, US",United States of America
1507,"Crown Point, IN, United States","Crown Point, IN",United States of America
1508,"Edmonton, T5J 2C1, CA, Canada","Edmonton, T5J 2C1, CA",Canada
1509,"Greater Noida, 36, IN, India","Greater Noida, 36, IN",India
1510,"Pullman, WA 99163, US, United States","Pullman, WA 99163, US",United States of America
1511,"Bowie, MD, US, United States","Bowie, MD, US",United States of America
1512,"Jonesboro, AR, US, United States","Jonesboro, AR, US",United States of America
1513,"Indore, Madhya Pradesh, IN, India","Indore, Madhya Pradesh, IN",India
1514,"Stafford, VA, US, United States","Stafford, VA, US",United States of America
1515,"Titusville, NJ, US, United States","Titusville, NJ, US",United States of America
1516,"Yonkers, NY, US, United States","Yonkers, NY, US",United States of America
