all_data,formattedLocation,country
"Dorrigo Mountain, New South Wales, Australia, Australia","Dorrigo Mountain, New South Wales, Australia",Australia
"Magenta, New South Wales, Australia, Australia","Magenta, New South Wales, Australia",Australia
"Fortville, IN, US","Fortville, IN",United States of America
"Villa de García, Nuevo León, Mexico, Mexico","Villa de GarcÃƒÂ­a, Nuevo LeÃƒÂ³n, Mexico",Mexico
"Oldwick, NJ, US","Oldwick, NJ",United States of America
"Knoxfield, Victoria, Australia, Australia","Knoxfield, Victoria, Australia",Australia
"Mannheim, Baden-Württemberg, Germany, Germany","Mannheim, Baden-WÃƒÂ¼rttemberg, Germany",Germany
"Maine, NY, US","Maine, NY",United States of America
"Wroclaw Metropolitan Area, Wroclaw Metropolitan Area",Wroclaw Metropolitan Area,Wroclaw Metropolitan Area
"Colville, WA, US","Colville, WA",United States of America
"Querétaro, Querétaro, Mexico, Mexico","QuerÃƒÂ©taro, QuerÃƒÂ©taro, Mexico",Mexico
"Lopik, Utrecht, Netherlands, Netherlands","Lopik, Utrecht, Netherlands",Netherlands
"Mishima, Shizuoka, Japan, Japan","Mishima, Shizuoka, Japan",Japan
"Pozuelo de Alarcón, Community of Madrid, Spain, Spain","Pozuelo de AlarcÃƒÂ³n, Community of Madrid, Spain",Spain
"Ambridge, PA, US","Ambridge, PA",United States of America
"Leon, Western Visayas, Philippines, Philippines","Leon, Western Visayas, Philippines",Philippines
"Ellington, CT, US","Ellington, CT",United States of America
"Leichhardt, New South Wales, Australia, Australia","Leichhardt, New South Wales, Australia",Australia
"Mooroobool, Queensland, Australia, Australia","Mooroobool, Queensland, Australia",Australia
"Lyon, Auvergne-Rhône-Alpes, France, France","Lyon, Auvergne-RhÃƒÂ´ne-Alpes, France",France
"Harrisburg, OR, US","Harrisburg, OR",United States of America
"Horb am Neckar, Baden-Württemberg, Germany, Germany","Horb am Neckar, Baden-WÃƒÂ¼rttemberg, Germany",Germany
"Kilvelur, Tamil Nadu, India, India","Kilvelur, Tamil Nadu, India",India
"Buren, Gelderland, Netherlands, Netherlands","Buren, Gelderland, Netherlands",Netherlands
"Hartville, OH, US","Hartville, OH",United States of America
"Lunenburg, CA, CA","Lunenburg, CA",United States of America
"Marshall, MI, US, US","Marshall, MI, US",United States of America
"Dhanbād, IN, IN","DhanbÃ„Âd, IN",India
"Caledonia, MI, US, US","Caledonia, MI, US",United States of America
"Ashburn, GA, US, US","Ashburn, GA, US",United States of America
"Texas, IN, US, US","Texas, IN, US",United States of America
"Chiasso, CH, CH","Chiasso, CH",Switzerland
"Ashta, IN, IN","Ashta, IN",India
"Red Deer, CA, CA","Red Deer, CA",United States of America
"Jabal us Sarāj, AF, AF","Jabal us SarÃ„Âj, AF",Afghanistan
"Braceville, IL, US, US","Braceville, IL, US",United States of America
"Verāval, IN, IN","VerÃ„Âval, IN",India
"Redlands, CA, US, US","Redlands, CA, US",United States of America
"Wellington, NZ, NZ","Wellington, NZ",New Zealand
"Dodgeville, WI, US, US","Dodgeville, WI, US",United States of America
"Brewton, AL, US, US","Brewton, AL, US",United States of America
"Winter Garden, FL, US, US","Winter Garden, FL, US",United States of America
"Anantpur, IN, IN","Anantpur, IN",India
"Salzburg, AT, AT","Salzburg, AT",Austria
"Sumner, WA, US, US","Sumner, WA, US",United States of America
"Bay City, MI, US, US","Bay City, MI, US",United States of America
"South Bend, WA, US, US","South Bend, WA, US",United States of America
"Broadmeadows, AU, AU","Broadmeadows, AU",Australia
"Meadowbank, AU, AU","Meadowbank, AU",Australia
"Middleton, TN, US, US","Middleton, TN, US",United States of America
"Avon Park, FL, US, US","Avon Park, FL, US",United States of America
"Tompkinsville, KY, US, US","Tompkinsville, KY, US",United States of America
"Kindred, ND, US, US","Kindred, ND, US",United States of America
"Wilmot, SD, US, US","Wilmot, SD, US",United States of America
"Kendallville, IN, US, US","Kendallville, IN, US",United States of America
"Malta, MT, US, US","Malta, MT, US",United States of America
"Shipman, IL, US, US","Shipman, IL, US",United States of America
"Wausa, NE, US, US","Wausa, NE, US",United States of America
"Bern, CH, CH","Bern, CH",Switzerland
"Cypress, TX, US, US","Cypress, TX, US",United States of America
"Englevale, ND, US, US","Englevale, ND, US",United States of America
"Humboldt, MN, US, US","Humboldt, MN, US",United States of America
"Kingfisher, OK, US, US","Kingfisher, OK, US",United States of America
"Magnolia, MN, US, US","Magnolia, MN, US",United States of America
"Fergus Falls, MN, US, US","Fergus Falls, MN, US",United States of America
"Glendive, MT, US, US","Glendive, MT, US",United States of America
"Grand Meadow, MN, US, US","Grand Meadow, MN, US",United States of America
"Circle, MT, US","Circle, MT",United States of America
"Burlington, WI, US, US","Burlington, WI, US",United States of America
"Dunkeld, ZA, ZA","Dunkeld, ZA",South Africa
"Lake George, NY, US, US","Lake George, NY, US",United States of America
"Casselton, ND, US, US","Casselton, ND, US",United States of America
"Devils Lake, ND, US, US","Devils Lake, ND, US",United States of America
"Flagstaff, AZ, US, US","Flagstaff, AZ, US",United States of America
"Park Ridge, IL, US, US","Park Ridge, IL, US",United States of America
"Earth City, MO, US, US","Earth City, MO, US",United States of America
"Lochem, NL, NL","Lochem, NL",Netherlands
"Houston, Texas, United States, United States","Houston,Texas,United States",United States
"Etters Post Office, PA, US, US","Etters Post Office, PA, US",United States of America
"North Aurora, IL, US, US","North Aurora, IL, US",United States of America
"La Vergne, TN, US, US","La Vergne, TN, US",United States of America
"Pittsfield, NH, US, US","Pittsfield, NH, US",United States of America
"Mountain View, WY, US, US","Mountain View, WY, US",United States of America
"New Hampton, NH, US, US","New Hampton, NH, US",United States of America
"Boston, United States of America, United States of America","Boston, United States of America",United States of America
"Skagway, AK, US, US","Skagway, AK, US",United States of America
"Bloomfield Township, MI, US, US","Bloomfield Township, MI, US",United States of America
"Sunnyvale, CA, United States, United States","Sunnyvale, CA, United States",United States
"Fort Mitchell, KY, US, US","Fort Mitchell, KY, US",United States of America
"Carson, CA, US, US","Carson, CA, US",United States of America
"France, PT, PT","France, PT",Portugal
"Chita, RU, RU","Chita, RU",Russia
"Ufa, RU, RU","Ufa, RU",Russia
"Barnaul, RU, RU","Barnaul, RU",Russia
"Las Rozas de Madrid, ES, ES","Las Rozas de Madrid, ES",Spain
"Holland, CA, CA","Holland, CA",United States of America
"Merelbeke, BE, BE","Merelbeke, BE",Belgium
"Lörrach, DE, DE","LÃƒÂ¶rrach, DE",Germany
"Purley, GB, GB","Purley, GB",United Kingdom
"Rochefort, FR, FR","Rochefort, FR",France
"Westminster, CA, US, US","Westminster, CA, US",United States of America
"Galashiels, GB, GB","Galashiels, GB",United Kingdom
"Bytom, PL, PL","Bytom, PL",Poland
"Llandough, GB, GB","Llandough, GB",United Kingdom
"Herzogenaurach, DE, DE","Herzogenaurach, DE",Germany
"Alimosho, NG, NG","Alimosho, NG",Nigeria
"Charlestown, MA, US, US","Charlestown, MA, US",United States of America
"Beijing, China, China","Beijing,China",China
"Wilmette, IL, US, US","Wilmette, IL, US",United States of America
"Bethlehem, PA, US, US","Bethlehem, PA, US",United States of America
"Camp Verde, AZ, US, US","Camp Verde, AZ, US",United States of America
"Aguada, PR, PR","Aguada, PR",Portugal
"Olen, NL, NL","Olen, NL",Netherlands
"Dammam, SA, SA","Dammam, SA",South Africa
"Tucker, GA, US, US","Tucker, GA, US",United States of America
"Philadelphia, MO, US, US","Philadelphia, MO, US",United States of America
"Stratford-upon-Avon, GB, GB","Stratford-upon-Avon, GB",United Kingdom
"Willenhall, GB, GB","Willenhall, GB",United Kingdom
"Houghton, MI, US, US","Houghton, MI, US",United States of America
"Northbrook, OH, US, US","Northbrook, OH, US",United States of America
"Alexandria, EG, EG","Alexandria, EG",Egypt
"Ossining, NY, US, US","Ossining, NY, US",United States of America
"Helmond, NL, NL","Helmond, NL",Netherlands
"Warminster, GB, GB","Warminster, GB",United Kingdom
"Union, KY, US, US","Union, KY, US",United States of America
"Ben Macdui, GB, GB","Ben Macdui, GB",United Kingdom
"Harleston, GB, GB","Harleston, GB",United Kingdom
"Good Samaritan Regional Medical Center, OR, US, US","Good Samaritan Regional Medical Center, OR, US",United States of America
"Newport, WA, US, US","Newport, WA, US",United States of America
"Nijmegen, NL, NL","Nijmegen, NL",Netherlands
"Grünburg, AT, AT","GrÃƒÂ¼nburg, AT",Austria
"Covington, LA, US, US","Covington, LA, US",United States of America
"Fort Lee, NJ, US, US","Fort Lee, NJ, US",United States of America
"West Mifflin, PA, US, US","West Mifflin, PA, US",United States of America
"Lockport, NY, US, US","Lockport, NY, US",United States of America
"Trussville, AL, US, US","Trussville, AL, US",United States of America
"Olyphant, PA, US, US","Olyphant, PA, US",United States of America
"Del Valle, TX, US, US","Del Valle, TX, US",United States of America
"Sharonville, OH, US, US","Sharonville, OH, US",United States of America
"Campbellsville, KY, US, US","Campbellsville, KY, US",United States of America
"Plainsboro Center, NJ, US, US","Plainsboro Center, NJ, US",United States of America
"Dendermonde, BE, BE","Dendermonde, BE",Belgium
"Hanover, NH, US, US","Hanover, NH, US",United States of America
"Saint Joseph, MO, US, US","Saint Joseph, MO, US",United States of America
"Sosnowiec, PL, PL","Sosnowiec, PL",Poland
"Munich, Germany or London, UK, Germany, Germany","Munich, Germany or London, UK,Germany,Germany",Germany
"Anchorage, KY, US, US","Anchorage, KY, US",United States of America
"Bel Air, MD, US, US","Bel Air, MD, US",United States of America
"Hood River, OR, US, US","Hood River, OR, US",United States of America
"Pasadena, TX, US, US","Pasadena, TX, US",United States of America
"Woodland, CA, US, US","Woodland, CA, US",United States of America
"Washington, WV, US, US","Washington, WV, US",United States of America
"Tennessee, IL, US, US","Tennessee, IL, US",United States of America
"Shildon, GB, GB","Shildon, GB",United Kingdom
"Weslaco, TX, US, US","Weslaco, TX, US",United States of America
"Siegburg, DE, DE","Siegburg, DE",Germany
"Super 8 Motel Tallahasee FL, FL, US, US","Super 8 Motel Tallahasee FL, FL, US",United States of America
"Braås, SE, SE","BraÃƒÂ¥s, SE",Sweden
"Zhou, CN, CN","Zhou, CN",China
"Tatabánya, HU, HU","TatabÃƒÂ¡nya, HU",Hungary
"Wixom, MI, US, US","Wixom, MI, US",United States of America
"District Benesov, Czech Republic, Czech Republic","District Benesov, Czech Republic",Czech Republic
"Dallas, GA, US, US","Dallas, GA, US",United States of America
"Shirley, MA, US, US","Shirley, MA, US",United States of America
"Pottstown Limerick Airport, PA, US, US","Pottstown Limerick Airport, PA, US",United States of America
"White Bear Lake, MN, US, US","White Bear Lake, MN, US",United States of America
"Saint Charles, IL, US, US","Saint Charles, IL, US",United States of America
"Pānīpat, IN, IN","PÃ„ÂnÃ„Â«pat, IN",India
"Charlottesville, VA, US, US","Charlottesville, VA, US",United States of America
"Fort Thomas, KY, US, US","Fort Thomas, KY, US",United States of America
"Moncton, CA, CA","Moncton, CA",United States of America
"Avon, CT, US, US","Avon, CT, US",United States of America
"North Granby, CT, US, US","North Granby, CT, US",United States of America
"Jaisalmer, IN, IN","Jaisalmer, IN",India
"Unionville, CT, US, US","Unionville, CT, US",United States of America
"Ashland, VA, US, US","Ashland, VA, US",United States of America
"Lake Arrowhead, CA, US, US","Lake Arrowhead, CA, US",United States of America
"Bayport, MN, US, US","Bayport, MN, US",United States of America
"Stuart, FL, US, US","Stuart, FL, US",United States of America
"Dartmouth, CA, CA","Dartmouth, CA",United States of America
"Brighouse, GB, GB","Brighouse, GB",United Kingdom
"Farmington, NM, US, US","Farmington, NM, US",United States of America
"Elkhorn, NE, US, US","Elkhorn, NE, US",United States of America
"Lake in the Hills, IL, US, US","Lake in the Hills, IL, US",United States of America
"Lauderdale County, AL, US, US","Lauderdale County, AL, US",United States of America
"Dade City, FL, US, US","Dade City, FL, US",United States of America
"Elmendorf Air Force Base, AK, US, US","Elmendorf Air Force Base, AK, US",United States of America
"Seaford, VA, US, US","Seaford, VA, US",United States of America
"Keller, TX, US, US","Keller, TX, US",United States of America
"Lakewood, OH, US, US","Lakewood, OH, US",United States of America
"Hebden Bridge, GB, GB","Hebden Bridge, GB",United Kingdom
"Kidlington, GB, GB","Kidlington, GB",United Kingdom
"Hampton, GB, GB","Hampton, GB",United Kingdom
"Ascot, GB, GB","Ascot, GB",United Kingdom
"Frederick, CO, US, US","Frederick, CO, US",United States of America
"Arundel, GB, GB","Arundel, GB",United Kingdom
"Arcadia, CA, US, US","Arcadia, CA, US",United States of America
"Heroica Matamoros, MX, MX","Heroica Matamoros, MX",Mexico
"Khammam, IN, IN","Khammam, IN",India
"Keosauqua, IA, US, US","Keosauqua, IA, US",United States of America
"Brackettville, TX, US, US","Brackettville, TX, US",United States of America
"Pawleys Island, SC, US, US","Pawleys Island, SC, US",United States of America
"Lino Lakes, MN, US, US","Lino Lakes, MN, US",United States of America
"Cameron, NC, US, US","Cameron, NC, US",United States of America
"Louisa, VA, US, US","Louisa, VA, US",United States of America
"Roanoke Rapids, NC, US, US","Roanoke Rapids, NC, US",United States of America
"Hopewell, VA, US, US","Hopewell, VA, US",United States of America
"Isle of South Uist, GB, GB","Isle of South Uist, GB",United Kingdom
"Colwyn Bay, GB, GB","Colwyn Bay, GB",United Kingdom
"Fort William, GB, GB","Fort William, GB",United Kingdom
"Elizabeth City, NC, US, US","Elizabeth City, NC, US",United States of America
"Friant, CA, US, US","Friant, CA, US",United States of America
"Spencer, IN, US, US","Spencer, IN, US",United States of America
"Powell, OH, US, US","Powell, OH, US",United States of America
"Chippewa Falls, WI, US, US","Chippewa Falls, WI, US",United States of America
"Mayville, ND, US, US","Mayville, ND, US",United States of America
"Buxton, ND, US, US","Buxton, ND, US",United States of America
"Hunter, ND, US, US","Hunter, ND, US",United States of America
"Manvel, ND, US, US","Manvel, ND, US",United States of America
"Catholic Center, MA, US, US","Catholic Center, MA, US",United States of America
"Canal Winchester, OH, US, US","Canal Winchester, OH, US",United States of America
"Silverdale, WA, US, US","Silverdale, WA, US",United States of America
"Selden, NY, US, US","Selden, NY, US",United States of America
"Monroe, OH, US, US","Monroe, OH, US",United States of America
"East Patchogue, NY, US, US","East Patchogue, NY, US",United States of America
"Lawrenceburg, IN, US, US","Lawrenceburg, IN, US",United States of America
"Kill Devil Hills, NC, US, US","Kill Devil Hills, NC, US",United States of America
"Fernandina Beach, FL, US, US","Fernandina Beach, FL, US",United States of America
"Sparks, NV, US, US","Sparks, NV, US",United States of America
"Sonoma, CA, US, US","Sonoma, CA, US",United States of America
"Douglas, WY, US, US","Douglas, WY, US",United States of America
"East Meadow, NY, US, US","East Meadow, NY, US",United States of America
"Hartsdale, NY, US, US","Hartsdale, NY, US",United States of America
"Mill Creek, WA, US, US","Mill Creek, WA, US",United States of America
"Roseburg, OR, US, US","Roseburg, OR, US",United States of America
"Central Point, OR, US, US","Central Point, OR, US",United States of America
"Gig Harbor, WA, US, US","Gig Harbor, WA, US",United States of America
"Liberty Lake, WA, US, US","Liberty Lake, WA, US",United States of America
"Corvallis, OR, US, US","Corvallis, OR, US",United States of America
"Downtown Brooklyn, NY, US, US","Downtown Brooklyn, NY, US",United States of America
"Doylestown, PA, US, US","Doylestown, PA, US",United States of America
"Hastings, MN, US, US","Hastings, MN, US",United States of America
"Středočeský kraj, Central Bohemia, CZ, CZ","StÃ…Â™edoÃ„ÂeskÃƒÂ½ kraj, Central Bohemia, CZ",Czech Republic
"Colton, CA, US, US","Colton, CA, US",United States of America
"Carmichael, CA, US, US","Carmichael, CA, US",United States of America
"Eastlake, OH, US, US","Eastlake, OH, US",United States of America
"Lakeport, CA, US, US","Lakeport, CA, US",United States of America
"Frisco, CO, US, US","Frisco, CO, US",United States of America
"Ruckersville, VA, US, US","Ruckersville, VA, US",United States of America
"Hebron, KY 41048, US, US","Hebron, KY 41048, US",United States of America
"Clinton, MI, US, US","Clinton, MI, US",United States of America
"Savannah, TN, US, US","Savannah, TN, US",United States of America
"Spring Hill, TN, US, US","Spring Hill, TN, US",United States of America
"New Albany, MS, US, US","New Albany, MS, US",United States of America
"McCandless Township, PA, US, US","McCandless Township, PA, US",United States of America
"Noblesville, IN, US, US","Noblesville, IN, US",United States of America
"Haines City, FL, US, US","Haines City, FL, US",United States of America
"Windom, MN, US, US","Windom, MN, US",United States of America
"Herzogenaurach, Bavaria, DE, DE","Herzogenaurach, Bavaria, DE",Germany
"Middle Valley, TN, US, US","Middle Valley, TN, US",United States of America
"Moscow, 101990, RU, RU","Moscow, 101990, RU",Russia
"Muntinlupa, PH, PH","Muntinlupa, PH",Philippines
"Rāipur, 16, IN, IN","RÃ„Âipur, 16, IN",India
"The Hague, 2574, NL, NL","The Hague, 2574, NL",Netherlands
"Marseille, FR, FR","Marseille, FR",France
"Gurgaon, 122101, IN, IN","Gurgaon, 122101, IN",India
"Washington, D.C., DC 20001, US, US","Washington, D.C., DC 20001, US",United States of America
"Culver City, CA 90230, US, US","Culver City, CA 90230, US",United States of America
"Anacostia, DC 20020, US, US","Anacostia, DC 20020, US",United States of America
"Austin, TX 73301, US, US","Austin, TX 73301, US",United States of America
"Montclair, CA, US, US","Montclair, CA, US",United States of America
"Santa Cruz, CA 95060, US, US","Santa Cruz, CA 95060, US",United States of America
"North Las Vegas, NV, US, US","North Las Vegas, NV, US",United States of America
"Cannock, WS11, GB, GB","Cannock, WS11, GB",United Kingdom
"Manchester, M15, GB, GB","Manchester, M15, GB",United Kingdom
"Quantico, VA 22134, US, US","Quantico, VA 22134, US",United States of America
"Denver, CO 80201, US, US","Denver, CO 80201, US",United States of America
"Grove, GB, GB","Grove, GB",United Kingdom
"Arlington, VA 22201, US, US","Arlington, VA 22201, US",United States of America
"Boston, MA 02101, US, US","Boston, MA 02101, US",United States of America
"Córdoba, 05, AR, AR","CÃƒÂ³rdoba, 05, AR",Argentina
"Mebane, NC, US, US","Mebane, NC, US",United States of America
"Amsterdam, 07, NL, NL","Amsterdam, 07, NL",Netherlands
"Wauwatosa, WI 53213, US, US","Wauwatosa, WI 53213, US",United States of America
"Palmdale, CA 93550, US, US","Palmdale, CA 93550, US",United States of America
"Bellevue, WA 98004, US, US","Bellevue, WA 98004, US",United States of America
"Leederville, AU, AU","Leederville, AU",Australia
"Hooksett, NH, US, US","Hooksett, NH, US",United States of America
"Montgomery, PA, US, US","Montgomery, PA, US",United States of America
"Chullora, AU, AU","Chullora, AU",Australia
"Vadnais Heights, MN, US, US","Vadnais Heights, MN, US",United States of America
"Wise, VA, US, US","Wise, VA, US",United States of America
"Comanche, TX, US, US","Comanche, TX, US",United States of America
"Isenburg, DE, DE","Isenburg, DE",Germany
"Hyannis, MA, US, US","Hyannis, MA, US",United States of America
"Waterford, IE, IE","Waterford, IE",Ireland
"Plzeň, CZ, CZ","PlzeÃ…Âˆ, CZ",Czech Republic
"Okemos, MI, US, US","Okemos, MI, US",United States of America
"Tumut, AU, AU","Tumut, AU",Australia
"Bennettsville, SC, US, US","Bennettsville, SC, US",United States of America
"Tajimi, JP, JP","Tajimi, JP",Japan
"Daventry, GB, GB","Daventry, GB",United Kingdom
"Belgrade, RS, RS","Belgrade, RS",Serbia
"Bordeaux, FR, FR","Bordeaux, FR",France
"Wilrijk, BE, BE","Wilrijk, BE",Belgium
"Baden-Baden, 01, DE, DE","Baden-Baden, 01, DE",Germany
"Floyd, IA, US, US","Floyd, IA, US",United States of America
"Sowerby Bridge, GB, GB","Sowerby Bridge, GB",United Kingdom
"Limerick, PA, US, US","Limerick, PA, US",United States of America
"Cody, WY, US, US","Cody, WY, US",United States of America
"Fürth, DE, DE","FÃƒÂ¼rth, DE",Germany
"Pikesville, MD, US, US","Pikesville, MD, US",United States of America
"Batangas, PH, PH","Batangas, PH",Philippines
"Lithia Springs, GA, US, US","Lithia Springs, GA, US",United States of America
"Waukesha, WI 53186, US, US","Waukesha, WI 53186, US",United States of America
"Guangzhou, 510140, CN, CN","Guangzhou, 510140, CN",China
"Singapore, 189721, SG, SG","Singapore, 189721, SG",Singapore
"Richfield, MN 55423, US, US","Richfield, MN 55423, US",United States of America
"Seattle, WA 98101, US, US","Seattle, WA 98101, US",United States of America
"Larbert, SCT, GB, GB","Larbert, SCT, GB",United Kingdom
"Budapest, 1117, HU, HU","Budapest, 1117, HU",Hungary
"Hall City, FL, US, US","Hall City, FL, US",United States of America
"Kerrville, TX, US, US","Kerrville, TX, US",United States of America
"Merrillville, IN, US, US","Merrillville, IN, US",United States of America
"Thiruvananthapuram, 695021, IN, IN","Thiruvananthapuram, 695021, IN",India
"Trowbridge, BA14, GB, GB","Trowbridge, BA14, GB",United Kingdom
"Raurkela, IN, IN","Raurkela, IN",India
"Florence, NJ 08518, US, US","Florence, NJ 08518, US",United States of America
"Kenilworth, NJ, US, US","Kenilworth, NJ, US",United States of America
"Biel/Bienne, CH, CH","Biel/Bienne, CH",Switzerland
"Cleveland, OH 44115, US, US","Cleveland, OH 44115, US",United States of America
"Chandigarh, 160011, IN, IN","Chandigarh, 160011, IN",India
"Southampton, MA, US, US","Southampton, MA, US",United States of America
"Brabant, CA, CA","Brabant, CA",United States of America
"Jackson, TN 38301, US, US","Jackson, TN 38301, US",United States of America
"Cincinnati, OH 45201, US, US","Cincinnati, OH 45201, US",United States of America
"Easton, CT, US, US","Easton, CT, US",United States of America
"Frankfurt am Main, 60489, DE, DE","Frankfurt am Main, 60489, DE",Germany
"Allen, TX 75002, US, US","Allen, TX 75002, US",United States of America
"Montgomery, AL 36101, US, US","Montgomery, AL 36101, US",United States of America
"Manila, 1000, PH, PH","Manila, 1000, PH",Philippines
"Dorchester, MA, US, US","Dorchester, MA, US",United States of America
"Rocky Hill, CT 06067, US, US","Rocky Hill, CT 06067, US",United States of America
"Redruth, GB, GB","Redruth, GB",United Kingdom
"Delhi, 07, IN, IN","Delhi, 07, IN",India
"Kwidzyn, PL, PL","Kwidzyn, PL",Poland
"Casa Grande, AZ, US, US","Casa Grande, AZ, US",United States of America
"Haverhill, GB, GB","Haverhill, GB",United Kingdom
"Stranraer, GB, GB","Stranraer, GB",United Kingdom
"Whitby, GB, GB","Whitby, GB",United Kingdom
"An Muileann gCearr, IE, IE","An Muileann gCearr, IE",Ireland
"Londonderry County Borough, GB, GB","Londonderry County Borough, GB",United Kingdom
"Isle of Lewis, GB, GB","Isle of Lewis, GB",United Kingdom
"Sidcup, GB, GB","Sidcup, GB",United Kingdom
"Trumbull, NE, US, US","Trumbull, NE, US",United States of America
"Central City, KY, US, US","Central City, KY, US",United States of America
"Springville, UT, US, US","Springville, UT, US",United States of America
"Township of Montville, NJ, US, US","Township of Montville, NJ, US",United States of America
"Garching bei München, DE, DE","Garching bei MÃƒÂ¼nchen, DE",Germany
"Columbia Heights, MN, US, US","Columbia Heights, MN, US",United States of America
"Avon, MA, US, US","Avon, MA, US",United States of America
"Hayden, ID, US, US","Hayden, ID, US",United States of America
"Elizabeth, NJ, US, US","Elizabeth, NJ, US",United States of America
"East Greenwich, RI, US, US","East Greenwich, RI, US",United States of America
"Bloomfield, IN, US, US","Bloomfield, IN, US",United States of America
"Ittersbach, DE, DE","Ittersbach, DE",Germany
"Ithaca, NY, US, US","Ithaca, NY, US",United States of America
"Marion, IA, US, US","Marion, IA, US",United States of America
"Zapopan, MX, MX","Zapopan, MX",Mexico
"Celina, OH, US, US","Celina, OH, US",United States of America
"Dover, PA, US, US","Dover, PA, US",United States of America
"Spanaway, WA, US, US","Spanaway, WA, US",United States of America
"Greystanes, AU, AU","Greystanes, AU",Australia
"Moltema, AU, AU","Moltema, AU",Australia
"Toowoomba, AU, AU","Toowoomba, AU",Australia
"Newman, AU, AU","Newman, AU",Australia
"Wheeler Army Airfield, HI, US, US","Wheeler Army Airfield, HI, US",United States of America
"Winter Haven, FL, US, US","Winter Haven, FL, US",United States of America
"Madison, WV, US, US","Madison, WV, US",United States of America
"Mecca, SA, SA","Mecca, SA",South Africa
"Tinton Falls, NJ, US, US","Tinton Falls, NJ, US",United States of America
"Newhall, IA, US, US","Newhall, IA, US",United States of America
"Grover Beach, CA, US, US","Grover Beach, CA, US",United States of America
"State of Mahārāshtra, IN, IN","State of MahÃ„ÂrÃ„Âshtra, IN",India
"Ambāla, IN, IN","AmbÃ„Âla, IN",India
"Panamá, PA, PA","PanamÃƒÂ¡, PA",Panama
"New Berlin, WI, US, US","New Berlin, WI, US",United States of America
"Chestnut Hill, MA, US, US","Chestnut Hill, MA, US",United States of America
"Kentucky, KY, US, US","Kentucky, KY, US",United States of America
"Pomona, NJ, US, US","Pomona, NJ, US",United States of America
"Searcy, AR, US, US","Searcy, AR, US",United States of America
"Englewood, OH, US, US","Englewood, OH, US",United States of America
"Walnutport, PA, US, US","Walnutport, PA, US",United States of America
"Moon, PA, US, US","Moon, PA, US",United States of America
"Chalfont, PA, US, US","Chalfont, PA, US",United States of America
"Woodward, OK, US, US","Woodward, OK, US",United States of America
"Winchester, MA, US, US","Winchester, MA, US",United States of America
"Northfield, IL, US, US","Northfield, IL, US",United States of America
"Wyoming, MN, US, US","Wyoming, MN, US",United States of America
"State College, PA, US, US","State College, PA, US",United States of America
"Nantucket Visitor Services and Information Bureau, MA, US, US","Nantucket Visitor Services and Information Bureau, MA, US",United States of America
"Ronkonkoma, NY, US, US","Ronkonkoma, NY, US",United States of America
"New Westminster, CA, CA","New Westminster, CA",United States of America
"Sleepy Hollow, NY, US, US","Sleepy Hollow, NY, US",United States of America
"Boonton, NJ, US, US","Boonton, NJ, US",United States of America
"Holdrege, NE, US, US","Holdrege, NE, US",United States of America
"New Caney, TX, US, US","New Caney, TX, US",United States of America
"Fakenham, GB, GB","Fakenham, GB",United Kingdom
"Sophia Antipolis, FR, FR","Sophia Antipolis, FR",France
"Shah Alam, MY, MY","Shah Alam, MY",Malaysia
"Al Aḥmadī, KW, KW","Al AÃ¡Â¸Â©madÃ„Â«, KW",Kuwait
"Measham, GB, GB","Measham, GB",United Kingdom
"Aguadilla, PR, PR","Aguadilla, PR",Portugal
"Irondale, AL, US, US","Irondale, AL, US",United States of America
"Gold River, CA, US, US","Gold River, CA, US",United States of America
"Gosport, GB, GB","Gosport, GB",United Kingdom
"Lima, PE, PE","Lima, PE",Peru
"Trollhättan, SE, SE","TrollhÃƒÂ¤ttan, SE",Sweden
"Atlanta, OH, US, US","Atlanta, OH, US",United States of America
"Nyon, CH, CH","Nyon, CH",Switzerland
"Boston, GB, GB","Boston, GB",United Kingdom
"Kuopio, FI, FI","Kuopio, FI",Finland
"Clyde, OH, US, US","Clyde, OH, US",United States of America
"Reading, MA, US, US","Reading, MA, US",United States of America
"McChord Field Airport (Joint Base Lewis-McChord), WA, US, US","McChord Field Airport (Joint Base Lewis-McChord), WA, US",United States of America
"University, IL, US, US","University, IL, US",United States of America
"Waynesboro, GA, US, US","Waynesboro, GA, US",United States of America
"Harrodsburg, KY, US, US","Harrodsburg, KY, US",United States of America
"Stuarts Draft, VA, US, US","Stuarts Draft, VA, US",United States of America
"Madison, MS, US, US","Madison, MS, US",United States of America
"Northborough, MA, US, US","Northborough, MA, US",United States of America
"Dill, FL, US, US","Dill, FL, US",United States of America
"Christchurch, NZ, NZ","Christchurch, NZ",New Zealand
"Dublin, GA, US, US","Dublin, GA, US",United States of America
"Sandston, VA, US, US","Sandston, VA, US",United States of America
"Marion, NC, US, US","Marion, NC, US",United States of America
"West Kilbride, GB, GB","West Kilbride, GB",United Kingdom
"Quintana, MX, MX","Quintana, MX",Mexico
"Pineville, KY, US","Pineville, KY",United States of America
"Newark, TX, US","Newark, TX",United States of America
"Hopton, England, United Kingdom, United Kingdom","Hopton, England, United Kingdom",United Kingdom
"Vadu Vejei, Iași, Romania, Romania","Vadu Vejei, IaÃ…ÂŸi, Romania",Romania
"Cavite City, 40, PH, PH","Cavite City, 40, PH",Philippines
"California, OH, US, US","California, OH, US",United States of America
"Fort Rucker, AL, US, US","Fort Rucker, AL, US",United States of America
